,year,weighted_average_vote
909,1930,6.0
910,1930,6.6
911,1930,5.3
912,1930,6.5
913,1930,6.4
914,1930,5.5
915,1930,5.6
916,1930,4.6
917,1930,6.8
918,1931,7.3
919,1930,6.1
920,1930,5.3
921,1930,5.6
922,1930,5.3
923,1930,5.5
924,1930,6.2
925,1930,6.5
926,1930,5.7
927,1930,6.2
928,1931,6.1
929,1930,5.7
930,1930,5.1
931,1930,5.0
932,1930,5.8
933,1930,6.8
934,1930,5.7
935,1930,4.7
936,1930,6.8
937,1930,7.1
938,1930,6.4
939,1930,6.1
940,1930,6.1
941,1930,5.3
942,1930,6.2
943,1930,5.8
944,1930,5.8
945,1930,6.1
946,1930,6.0
947,1930,6.7
948,1930,6.2
949,1930,5.9
950,1930,5.3
951,1930,6.1
952,1930,7.2
953,1930,6.1
954,1930,7.1
955,1930,6.9
956,1930,5.7
957,1931,5.0
958,1930,6.5
959,1930,5.7
960,1930,6.4
961,1930,5.6
962,1930,5.6
963,1930,5.8
964,1930,5.0
965,1930,6.7
966,1930,5.5
967,1930,5.7
968,1930,5.9
969,1937,7.8
970,1930,5.9
971,1930,6.3
972,1930,5.2
973,1930,7.4
974,1930,5.6
975,1930,5.5
976,1930,5.1
977,1930,6.4
978,1930,5.9
979,1931,5.5
980,1930,6.2
981,1930,6.3
982,1930,6.2
983,1929,6.2
984,1930,6.0
985,1930,5.3
986,1930,7.0
987,1930,6.0
988,1930,7.1
989,1930,5.5
990,1930,6.8
991,1930,5.3
992,1930,5.1
993,1930,6.6
994,1930,5.5
995,1930,5.9
996,1930,6.4
997,1930,7.1
998,1930,6.1
999,1930,6.7
1000,1930,5.7
1001,1930,6.8
1002,1930,6.0
1003,1930,5.7
1004,1930,5.5
1005,1930,6.1
1006,1930,5.6
1007,1930,5.7
1008,1930,7.4
1009,1930,6.3
1010,1930,6.0
1011,1930,6.5
1012,1930,6.1
1013,1930,7.3
1014,1930,7.3
1015,1931,6.0
1016,1931,6.3
1017,1931,6.0
1018,1931,4.6
1019,1931,6.2
1020,1931,6.5
1021,1931,5.8
1022,1931,6.2
1023,1931,6.2
1024,1931,6.5
1025,1931,6.5
1026,1931,6.3
1027,1932,6.9
1028,1931,6.1
1029,1931,6.8
1030,1931,6.7
1031,1931,5.9
1032,1931,5.7
1033,1931,6.8
1034,1931,7.1
1035,1931,5.9
1036,1931,5.8
1037,1931,6.6
1038,1931,5.9
1039,1931,6.4
1040,1931,6.6
1041,1931,7.3
1042,1931,6.4
1043,1931,6.7
1044,1931,6.4
1045,1931,7.6
1046,1931,4.4
1047,1931,5.9
1048,1931,8.5
1049,1931,7.1
1050,1932,6.9
1051,1931,6.0
1052,1931,6.5
1053,1931,6.1
1054,1931,5.8
1055,1931,6.4
1056,1930,7.0
1057,1931,5.6
1058,1931,5.9
1059,1931,6.2
1060,1931,6.2
1061,1931,6.1
1062,1931,6.2
1063,1931,5.9
1064,1931,6.2
1065,1931,6.3
1066,1931,6.2
1067,1931,7.5
1068,1931,7.2
1069,1931,7.3
1070,1931,5.7
1071,1931,6.1
1072,1931,6.0
1073,1931,5.7
1074,1932,6.0
1075,1931,7.2
1076,1931,6.0
1077,1931,5.6
1078,1931,6.4
1079,1931,5.2
1080,1931,5.7
1081,1931,6.1
1082,1931,5.9
1083,1931,7.3
1084,1931,6.3
1085,1931,5.8
1086,1931,7.8
1087,1931,6.7
1088,1931,5.4
1089,1931,6.7
1090,1931,5.5
1091,1931,5.1
1092,1931,6.4
1093,1931,7.0
1094,1931,5.3
1095,1932,5.9
1096,1931,5.7
1097,1931,6.2
1098,1931,6.5
1099,1931,6.7
1100,1931,6.9
1101,1931,5.9
1102,1931,5.9
1103,1931,5.5
1104,1931,6.7
1105,1931,5.8
1106,1931,6.9
1107,1931,7.8
1108,1931,5.4
1109,1931,6.1
1110,1931,6.1
1111,1931,6.2
1112,1931,6.3
1113,1931,6.1
1114,1931,7.5
1115,1931,5.9
1116,1931,5.0
1117,1931,5.5
1118,1931,7.0
1119,1931,6.0
1120,1931,6.0
1121,1931,6.0
1122,1931,6.4
1123,1931,6.8
1124,1931,5.6
1125,1931,5.4
1126,1931,7.2
1127,1931,7.3
1128,1931,6.2
1129,1931,6.3
1130,1931,8.3
1131,1931,6.4
1132,1931,6.5
1133,1931,6.9
1134,1931,6.9
1135,1931,6.1
1136,1931,5.0
1137,1931,6.5
1138,1931,7.9
1139,1931,5.7
1140,1931,5.7
1141,1938,6.3
1142,1931,6.3
1143,1931,7.4
1144,1931,7.0
1145,1931,7.2
1146,1931,7.5
1147,1931,5.4
1148,1931,6.2
1149,1931,5.6
1150,1931,6.5
1151,1931,5.6
1152,1931,7.6
1153,1931,7.3
1154,1930,5.7
1155,1931,5.6
1156,1931,5.3
1157,1931,6.7
1158,1931,7.1
1159,1931,6.8
1160,1931,7.1
1161,1931,6.1
1162,1931,6.7
1163,1931,6.5
1164,1931,5.1
1165,1931,6.8
1166,1931,7.0
1167,1931,6.1
1168,1931,6.7
1169,1931,5.9
1170,1931,6.5
1171,1931,4.4
1172,1931,6.9
1173,1931,6.4
1174,1931,6.7
1175,1931,6.9
1176,1931,6.8
1177,1931,6.5
1178,1931,7.7
1179,1931,7.1
1180,1931,6.4
1181,1931,5.9
1182,1931,5.7
1183,1931,6.2
1184,1931,6.4
1185,1932,5.9
1186,1931,4.6
1187,1931,6.5
1188,1931,5.9
1189,1931,5.9
1190,1931,7.0
1191,1932,7.0
1192,1931,5.8
1193,1931,6.3
1194,1931,7.0
1195,1931,6.0
1196,1931,5.1
1197,1931,5.7
1198,1931,6.7
1199,1931,5.0
1200,1931,5.8
1201,1931,6.3
1202,1931,6.8
1203,1931,6.5
1204,1930,4.4
1205,1931,6.0
1206,1931,5.5
1207,1931,6.1
1208,1931,6.4
1209,1931,6.3
1210,1931,5.5
1211,1931,6.6
1212,1931,6.0
1213,1931,7.6
1214,1931,6.0
1215,1931,6.2
1216,1930,6.2
1217,1931,6.4
1218,1931,6.8
1219,1931,7.5
1220,1931,6.1
1221,1931,6.6
1222,1931,5.4
1223,1931,5.7
1224,1931,5.7
1225,1931,7.2
1226,1931,6.5
1227,1931,6.2
1228,1931,6.6
1229,1931,5.8
1230,1931,6.7
1231,1931,6.0
1232,1932,6.2
1233,1931,6.0
1234,1931,7.5
1235,1931,6.1
1236,1931,6.2
1237,1931,6.3
1238,1931,7.5
1239,1932,6.7
1240,1932,6.0
1241,1932,6.4
1242,1932,6.0
1243,1932,7.4
1244,1932,6.4
1245,1932,6.2
1246,1932,6.9
1247,1932,6.4
1248,1932,6.3
1249,1932,6.9
1250,1932,6.8
1251,1932,6.2
1252,1932,6.9
1253,1932,6.1
1254,1932,5.8
1255,1932,5.6
1256,1932,6.5
1257,1932,6.1
1258,1932,6.8
1259,1932,6.9
1260,1932,7.1
1261,1932,5.7
1262,1932,6.5
1263,1932,7.4
1264,1932,7.6
1265,1932,5.6
1266,1932,6.7
1267,1932,6.8
1268,1932,7.0
1269,1932,5.5
1270,1932,6.1
1271,1932,6.3
1272,1932,6.1
1273,1932,6.9
1274,1932,6.3
1275,1932,6.0
1276,1932,7.7
1277,1932,5.4
1278,1932,5.9
1279,1932,6.2
1280,1932,6.5
1281,1932,6.1
1282,1932,7.0
1283,1932,6.4
1284,1932,5.9
1285,1932,6.4
1286,1932,6.8
1287,1931,7.6
1288,1932,7.0
1289,1932,6.0
1290,1933,6.7
1291,1932,6.3
1292,1932,6.8
1293,1932,6.5
1294,1932,7.7
1295,1932,6.5
1296,1932,5.7
1297,1932,6.3
1298,1932,5.9
1299,1932,6.5
1300,1932,6.9
1301,1932,7.9
1302,1932,5.8
1303,1932,6.0
1304,1932,5.5
1305,1932,6.1
1306,1932,4.7
1307,1932,7.4
1308,1932,6.1
1309,1931,7.2
1310,1932,6.3
1311,1932,6.3
1312,1932,5.6
1313,1931,6.3
1314,1932,6.8
1315,1932,6.0
1316,1932,6.1
1317,1932,6.6
1318,1932,6.3
1319,1932,7.6
1320,1932,6.6
1321,1932,5.8
1322,1932,5.4
1323,1932,8.2
1324,1932,7.0
1325,1932,6.1
1326,1932,6.1
1327,1932,6.5
1328,1932,7.3
1329,1932,6.3
1330,1932,5.5
1331,1932,6.6
1332,1932,6.6
1333,1932,6.3
1334,1932,6.3
1335,1932,6.2
1336,1932,6.1
1337,1932,6.2
1338,1932,6.9
1339,1932,6.6
1340,1932,6.1
1341,1932,6.4
1342,1932,5.8
1343,1932,6.5
1344,1932,5.8
1345,1932,6.4
1346,1932,7.6
1347,1932,5.9
1348,1932,6.2
1349,1932,6.4
1350,1932,6.5
1351,1932,7.1
1352,1932,6.5
1353,1932,6.7
1354,1932,6.3
1355,1931,6.6
1356,1932,6.9
1357,1932,6.6
1358,1932,6.3
1359,1931,6.0
1360,1932,6.8
1361,1932,5.0
1362,1932,6.9
1363,1932,6.2
1364,1932,6.1
1365,1932,4.1
1366,1932,7.2
1367,1932,7.1
1368,1932,7.2
1369,1932,5.6
1370,1932,7.1
1371,1932,4.8
1372,1932,6.4
1373,1932,6.8
1374,1932,5.3
1375,1932,6.8
1376,1932,7.0
1377,1932,6.9
1378,1932,6.6
1379,1932,6.6
1380,1932,6.6
1381,1932,5.8
1382,1932,7.1
1383,1932,6.4
1384,1932,7.2
1385,1932,7.5
1386,1932,6.4
1387,1932,5.9
1388,1932,6.9
1389,1932,7.0
1390,1932,5.3
1391,1932,5.9
1392,1932,6.6
1393,1932,5.9
1394,1932,7.3
1395,1932,6.2
1396,1931,5.7
1397,1932,6.4
1398,1932,6.4
1399,1932,6.9
1400,1932,6.6
1401,1932,7.3
1402,1932,5.6
1403,1932,7.0
1404,1932,6.5
1405,1931,5.8
1406,1932,5.5
1407,1932,5.4
1408,1932,6.3
1409,1932,6.6
1410,1932,4.4
1411,1932,7.8
1412,1932,5.8
1413,1932,6.9
1414,1932,6.3
1415,1932,5.8
1416,1932,5.7
1417,1932,6.4
1418,1932,6.0
1419,1932,6.9
1420,1932,6.4
1421,1932,5.2
1422,1932,6.1
1423,1932,6.3
1424,1932,7.2
1425,1932,6.9
1426,1932,6.9
1427,1932,5.5
1428,1932,5.8
1429,1932,6.7
1430,1932,5.4
1431,1932,5.7
1432,1932,5.7
1433,1932,6.3
1434,1932,6.9
1435,1932,5.1
1436,1932,5.9
1437,1932,6.9
1438,1932,6.1
1439,1932,5.4
1440,1932,7.0
1441,1931,6.7
1442,1932,5.8
1443,1933,8.0
1444,1932,6.3
1445,1932,6.8
1446,1932,6.2
1447,1932,6.3
1448,1932,5.8
1449,1932,6.7
1450,1932,6.6
1451,1932,7.2
1452,1932,6.4
1453,1932,6.6
1454,1932,6.1
1455,1932,8.0
1456,1932,6.2
1457,1932,6.9
1458,1932,5.7
1459,1932,8.0
1460,1932,6.1
1461,1932,7.0
1462,1932,7.0
1463,1932,6.5
1464,1932,7.5
1465,1932,5.7
1466,1932,5.0
1467,1932,6.5
1468,1932,6.9
1469,1932,6.7
1470,1932,5.7
1471,1931,6.1
1472,1932,5.5
1473,1932,6.3
1474,1932,7.1
1475,1932,6.3
1476,1932,6.1
1477,1932,5.3
1478,1932,6.1
1479,1932,6.5
1480,1932,6.2
1481,1933,6.7
1482,1932,6.9
1483,1933,6.3
1484,1933,5.8
1485,1933,6.1
1486,1933,6.4
1487,1933,6.1
1488,1933,6.4
1489,1933,5.9
1490,1933,6.1
1491,1933,6.4
1492,1934,6.1
1493,1933,7.6
1494,1933,5.9
